Gene Names (primary)	Gene Names (synonym)	Subcellular location [CC]
Slc25a17	Pmp34 Pmp35	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O43808}. Peroxisome membrane {ECO:0000250|UniProtKB:O43808}; Multi-pass membrane protein {ECO:0000255}.
Alox12b	Aloxe2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|PROSITE-ProRule:PRU00726}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:9837935}.
Mid1	Fxy Trim18	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O15344}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:O15344}. Note=Microtubule-associated. {ECO:0000250|UniProtKB:O15344}.
Nkx2-8	Nkx-2.9 Nkx2-9 Nkx2h	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Dtnb		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20530487}. Postsynaptic density {ECO:0000250|UniProtKB:P84060}. Cell projection, dendrite {ECO:0000269|PubMed:11585924, ECO:0000269|PubMed:16540561}. Basal cell membrane {ECO:0000269|PubMed:10893187}. Postsynapse {ECO:0000269|PubMed:16540561}. Nucleus {ECO:0000269|PubMed:20530487}. Note=Localized at inhibitory synapses on the dendrites of cerebellar Purkinje cells. {ECO:0000269|PubMed:16540561}.
Cask	Lin-2	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q62915}. Cytoplasm {ECO:0000250|UniProtKB:Q62915}. Cell membrane {ECO:0000250|UniProtKB:Q62915}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q62915}.
Rtn2	Nspl1	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:O75298}; Multi-pass membrane protein {ECO:0000255}. Sarcoplasmic reticulum membrane {ECO:0000269|PubMed:19720795}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000250|UniProtKB:Q6WN19}; Multi-pass membrane protein {ECO:0000255}. Cell membrane, sarcolemma {ECO:0000269|PubMed:19720795}; Multi-pass membrane protein {ECO:0000255}. Cell membrane, sarcolemma, T-tubule {ECO:0000269|PubMed:19720795}; Multi-pass membrane protein {ECO:0000255}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:10672514}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:10672514}. Note=Localizes to intermediate filaments in mononucleated myoblasts and to Z lines in mature myotubes. {ECO:0000269|PubMed:10672514}.
Myoc	Tigr	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:16392033}. Golgi apparatus {ECO:0000269|PubMed:23629661}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:Q99972}. Secreted, extracellular space {ECO:0000250|UniProtKB:Q99972}. Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:Q99972}. Secreted, extracellular exosome {ECO:0000250|UniProtKB:Q99972}. Mitochondrion {ECO:0000250|UniProtKB:Q99972}. Mitochondrion intermembrane space {ECO:0000250|UniProtKB:Q99972}. Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q99972}. Mitochondrion outer membrane {ECO:0000250|UniProtKB:Q99972}. Rough endoplasmic reticulum {ECO:0000269|PubMed:23629661}. Cell projection {ECO:0000250|UniProtKB:Q99972}. Cell projection, cilium {ECO:0000250|UniProtKB:Q99972}. Note=Located preferentially in the ciliary rootlet and basal body of the connecting cilium of photoreceptor cells, and in the rough endoplasmic reticulum. It is only imported to mitochondria in the trabecular meshwork. Localizes to the Golgi apparatus in Schlemm's canal endothelial cells. Appears in the extracellular space of trabecular meshwork cells by an unconventional mechanism, likely associated with exosome-like vesicles. Localizes in trabecular meshwork extracellular matrix. {ECO:0000250|UniProtKB:Q99972}.; SUBCELLULAR LOCATION: [Myocilin, C-terminal fragment]: Secreted {ECO:0000250}.; SUBCELLULAR LOCATION: [Myocilin, N-terminal fragment]: Endoplasmic reticulum. Note=Remains retained in the endoplasmic reticulum. {ECO:0000250}.
Pde9a	Pde8b	SUBCELLULAR LOCATION: Cell projection, ruffle membrane {ECO:0000250|UniProtKB:O76083}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:O76083}. Golgi apparatus {ECO:0000250|UniProtKB:O76083}. Endoplasmic reticulum {ECO:0000250|UniProtKB:O76083}. Cell membrane, sarcolemma {ECO:0000250|UniProtKB:O76083}.
Cd46	Mcp	SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasmic vesicle, secretory vesicle, acrosome inner membrane; Single-pass type I membrane protein. Note=Inner acrosomal membrane of spermatozoa.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.
Ly86	Md1	SUBCELLULAR LOCATION: Secreted, extracellular space. Note=Associated with CD180 at the cell surface.
Ttc3	Kiaa4119	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P53804}. Cytoplasm {ECO:0000250|UniProtKB:P53804}. Golgi apparatus {ECO:0000250|UniProtKB:D3ZSP7}. Note=Nuclear localization may be dependent on the proteolytic cleavage of full length protein in the cytoplasm (By similarity). This cleavage may reveal an N-terminal nuclear localization signal, allowing N-terminal fragments to enter the nucleus (By similarity). {ECO:0000250|UniProtKB:P53804}.
Chst3	C6st Gst0	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.
Col5a1		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000255|PROSITE-ProRule:PRU00793}.
Cfdp1	Bcnt Cfdp Cp27	SUBCELLULAR LOCATION: Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:Q9UEE9}. Nucleus {ECO:0000269|PubMed:38630655}. Chromosome {ECO:0000269|PubMed:38630655}. Note=Colocalizes with heterochromatin at major and minor satellites. {ECO:0000269|PubMed:38630655}.
Grem2	Cktsf1b2 Prdc	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Bcl6b	Bazf	SUBCELLULAR LOCATION: Nucleus.
Wiz		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16702210}.
Znf326	Zan75 Zfp326 Zird	SUBCELLULAR LOCATION: Nucleus matrix {ECO:0000269|PubMed:10798446, ECO:0000269|PubMed:9809746}.
Sorl1		SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000250|UniProtKB:Q92673}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q92673}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:Q92673}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q92673}. Endosome membrane {ECO:0000250|UniProtKB:Q92673}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q92673}. Early endosome membrane {ECO:0000250|UniProtKB:Q92673}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q92673}. Recycling endosome membrane {ECO:0000250|UniProtKB:Q92673}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q92673}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q92673}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q92673}. Endosome, multivesicular body membrane {ECO:0000250|UniProtKB:Q92673}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q92673}. Cell membrane {ECO:0000250|UniProtKB:Q92673}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q92673}. Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000250|UniProtKB:Q92673}; Single-pass type I membrane protein {ECO:0000250|UniProtKB:Q92673}. Secreted {ECO:0000269|PubMed:11082041, ECO:0000269|PubMed:26584636}. Note=Mostly intracellular, predominantly in the trans-Golgi network (TGN) and in endosome, as well as in endosome-to-TGN recycling compartments; found at low levels on the plasma membrane (By similarity). At the cell surface, partially subjected to proteolytic shedding that releases the ectodomain (also called soluble SORLA, solLR11 or sLR11) in the extracellular milieu (PubMed:11082041). The shedding may be catalyzed by ADAM17/TACE. Following shedding, PSEN1/presenilin-1 cleaves the remaining transmembrane fragment and catalyzes the release of a C-terminal fragment in the cytosol and of a soluble N-terminal beta fragment in the extracellular milieu. The C-terminal cytosolic fragment localizes to the nucleus. At the cell surface, the full-length protein undergoes partial clathrin-dependent endocytosis guided by clathrin adapter protein 2 (AP-2) (By similarity). {ECO:0000250|UniProtKB:Q92673, ECO:0000269|PubMed:11082041}.
Itln1	Intl Itln Itln1a Itlna	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:Q8WWA0}; Lipid-anchor, GPI-anchor {ECO:0000250|UniProtKB:Q8WWA0}. Secreted {ECO:0000250|UniProtKB:Q8WWA0}. Note=Enriched in lipid rafts. {ECO:0000269|PubMed:16866365}.
Agr2	Gob4	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:O95994}. Endoplasmic reticulum {ECO:0000269|PubMed:19359471}.
Ntsr1	Ntsr	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P30989}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P30989}. Membrane raft {ECO:0000250|UniProtKB:P30989}. Note=Palmitoylation is required for localization at CAV1-enriched membrane rafts. {ECO:0000250|UniProtKB:P30989}.
Nid2		SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix, basement membrane.
Cd83		SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Single-pass type I membrane protein {ECO:0000250}.
Myo1a	Bbmi Myhl	SUBCELLULAR LOCATION: Cell projection, microvillus {ECO:0000269|PubMed:15758024}.
Kcnj1		SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P48048}; Multi-pass membrane protein {ECO:0000255}. Note=Phosphorylation at Ser-44 by SGK1 is necessary for its expression at the cell membrane. {ECO:0000250|UniProtKB:P48048}.
Wdr1		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q5RKI0}. Cell projection, podosome {ECO:0000250|UniProtKB:O75083}.
Slc4a4	Nbc1 Nbce1	SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000269|PubMed:11171615}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000269|PubMed:21317537}; Multi-pass membrane protein {ECO:0000255}.
Ikbkb	Ikkb	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O14920}. Nucleus {ECO:0000250|UniProtKB:O14920}. Membrane raft {ECO:0000250|UniProtKB:O14920}. Note=Colocalized with DPP4 in membrane rafts. {ECO:0000250|UniProtKB:O14920}.
Baz1a	Cbp146	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12434153}. Note=Localizes to pericentric heterochromatin (PubMed:12434153). May target the CHRAC complex to heterochromatin (By similarity). Localizes to sites of DNA damage (By similarity). {ECO:0000250|UniProtKB:Q9NRL2, ECO:0000269|PubMed:12434153}.
Vti1b	Vti1l1	SUBCELLULAR LOCATION: Early endosome membrane {ECO:0000250|UniProtKB:Q9UEU0}; Single-pass type IV membrane protein {ECO:0000255}. Late endosome membrane {ECO:0000250|UniProtKB:Q9UEU0}; Single-pass type IV membrane protein {ECO:0000250|UniProtKB:Q9UEU0}. Lysosome membrane {ECO:0000250|UniProtKB:Q9UEU0}. Cytoplasmic granule {ECO:0000250|UniProtKB:Q9UEU0}. Recycling endosome membrane {ECO:0000250|UniProtKB:Q9UEU0}; Single-pass type IV membrane protein {ECO:0000255}.
Tgfbr3		SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P26342}; Single-pass type I membrane protein {ECO:0000255}. Secreted {ECO:0000250|UniProtKB:P26342}. Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:P26342}. Note=Exists both as a membrane-bound form and as soluble form in serum and in the extracellular matrix. {ECO:0000250|UniProtKB:P26342}.
Avil	Advil	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:O75366}. Cell projection, lamellipodium {ECO:0000250|UniProtKB:O75366}. Cell junction, focal adhesion {ECO:0000250|UniProtKB:O75366}. Cell projection, neuron projection {ECO:0000250|UniProtKB:Q9WU06}. Cell projection, axon {ECO:0000250|UniProtKB:Q9WU06}. Note=In podocytes, present in the F-actin-enriched cell periphery that generates lamellipodia and focal adhesions. {ECO:0000250|UniProtKB:O75366}.
Cxcr3	Cmkar3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Tulp3		SUBCELLULAR LOCATION: Cell projection, cilium {ECO:0000269|PubMed:19286674, ECO:0000269|PubMed:21209331}. Cell membrane {ECO:0000250|UniProtKB:O75386}. Nucleus {ECO:0000250|UniProtKB:O75386}. Cytoplasm {ECO:0000250|UniProtKB:O75386}. Secreted {ECO:0000269|PubMed:19695251}. Note=Does not have a cleavable signal peptide and is secreted by a non-conventional pathway (PubMed:19695251). Translocates from the plasma membrane to the nucleus upon activation of guanine nucleotide-binding protein G(q) subunit alpha (By similarity). {ECO:0000250|UniProtKB:O75386, ECO:0000269|PubMed:19695251}.
Cacna1h	Kiaa1120	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:O95180}; Multi-pass membrane protein {ECO:0000250|UniProtKB:O95180}. Note=Interaction with STAC increases expression at the cell membrane. {ECO:0000250|UniProtKB:O95180}.
Papss2	Atpsk2	
Adcy1		SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:9662407}; Multi-pass membrane protein {ECO:0000305}. Cell membrane {ECO:0000250|UniProtKB:P19754}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P19754}. Cytoplasm {ECO:0000269|PubMed:24482543}. Membrane raft {ECO:0000250|UniProtKB:P19754}. Note=Expressed in the cytoplasm of supporting cells and hair cells of the cochlea vestibule, as well as to the cochlear hair cell nuclei and stereocilia|. {ECO:0000269|PubMed:24482543}.
Aurkc	Aie1 Aik3 Airk3 Ark3 Stk13	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}. Chromosome {ECO:0000250}. Chromosome, centromere {ECO:0000250|UniProtKB:Q9UQB9}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q9UQB9}. Note=Distributes in the condensed chromosomes during prophase to metaphase. After entering anaphase, there is a dissociation from separated chromosomes and a redistribution to midzone microtubules, and finally remains in the midbody during cytokinesis (By similarity). {ECO:0000250|UniProtKB:Q9UQB9}.
Klc1	Kns2	SUBCELLULAR LOCATION: Cell projection, growth cone {ECO:0000250|UniProtKB:P37285}. Cytoplasmic vesicle {ECO:0000250|UniProtKB:P37285}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P37285}.
Klc2		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q9H0B6}. Lysosome membrane {ECO:0000250|UniProtKB:Q9H0B6}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9H0B6}; Cytoplasmic side {ECO:0000250|UniProtKB:Q9H0B6}.
Stc2		SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Kcnk4	Traak	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:27035965, ECO:0000269|PubMed:9628867}; Multi-pass membrane protein {ECO:0000255}. Cell projection, axon {ECO:0000250|UniProtKB:G3V8V5}. Note=Localizes at the Ranvier nodes of myelinated afferent nerves. {ECO:0000250|UniProtKB:G3V8V5}.
Dhcr7		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9UBM7}; Multi-pass membrane protein {ECO:0000255}.
Capns1	Capn4	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cell membrane {ECO:0000250}. Note=Translocates to the plasma membrane upon calcium binding. {ECO:0000250}.
Znf106	H3a Sh3bp3 Sirm Zfp106 Znf474	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:15833274, ECO:0000269|PubMed:27418600, ECO:0000269|PubMed:28072389, ECO:0000269|PubMed:9507006}. Nucleus speckle {ECO:0000269|PubMed:27418600, ECO:0000269|PubMed:28072389}. Note=Colocalizes with RBM39 in nuclear speckles. Inhibition of RNA synthesis, or overexpression of KNOP1, induces translocation from nuclear speckles to the nucleolus. {ECO:0000269|PubMed:27418600}.
Foxl2	Pfrk	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00089, ECO:0000269|PubMed:19797124}.
Igf2bp1	Vickz1	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12921532}. Cytoplasm {ECO:0000269|PubMed:12921532}. Cytoplasm, perinuclear region {ECO:0000250}. Cytoplasm, P-body {ECO:0000250|UniProtKB:Q9NZI8}. Cytoplasm, Stress granule {ECO:0000250|UniProtKB:Q9NZI8}. Cell projection, lamellipodium {ECO:0000250}. Cell projection, dendrite {ECO:0000250}. Cell projection, dendritic spine {ECO:0000250}. Cell projection, growth cone {ECO:0000250}. Cell projection, filopodium {ECO:0000250}. Cell projection, axon {ECO:0000250}. Note=In the nucleus, located in discrete foci, coinciding with the sites of ACTB transcription (By similarity). In the cytoplasm, localizes in cytoplasmic mRNP granules. Colocalizes with microtubules in growth cone filopodia and along neurites in neuronal cells (By similarity). Cytoplasmic colocalization with ACTB mRNA is partially lost at the cell periphery, suggesting release of the transcript (By similarity). In hippocampal neurons, predominantly located within dendrites, particularly at dendritic branching points in young cells, compared to axons (By similarity). In axons, predominantly found in axonal branches and their growth cones (By similarity). In neuronal processes, exhibits fast retrograde and anterograde movements, when associated with ACTB mRNA; this motility is lost when the association is inhibited (By similarity). Dendritic levels are regulated by neuronal activity and glutaminergic signals: they are increased by KCl-induced depolarization, which induces rapid efflux from the cell body into dendrites, and decreased by NMDA receptor agonists (By similarity). In motile cells, such as migrating fibroblasts, localizes to leading edges where it colocalizes with microtubules and microfilaments and to retracting tails (By similarity). In motile cells, transported towards the leading edge into the cortical region of the lamellipodia where it is connected to microfilaments (By similarity). In response to cellular stress, such as oxidative stress or heat shock, recruited to stress granules, but not to processing bodies (By similarity). {ECO:0000250}.
Dync1i1	Dnci1 Dncic1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Chromosome, centromere, kinetochore {ECO:0000250}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250}.
Dync1i2	Dnci2 Dncic2	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:28619825}. Cytoplasm {ECO:0000269|PubMed:28619825}. Note=Detected in the cytoplasm of pachytene spermatocytes. Localizes to the manchette in elongating spermatids. {ECO:0000269|PubMed:28619825}.
Nsd1		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:9628876}. Chromosome {ECO:0000305|PubMed:9628876}.
Gpr50		SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19699797, ECO:0000269|PubMed:29572483}; Multi-pass membrane protein. Postsynaptic density {ECO:0000269|PubMed:19699797}.
Pde8a	Pde8	
Cntfr		SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P26992}; Lipid-anchor, GPI-anchor {ECO:0000250|UniProtKB:P26992}. Secreted {ECO:0000250|UniProtKB:P26992}. Note=Localized at cell membrane when associated with SORL1. Released from plasma membrane and extracellular vesicles (EV) by GDPD2. {ECO:0000250|UniProtKB:P26992}.
Dnmt3a		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:12138111, ECO:0000269|PubMed:15456878, ECO:0000269|PubMed:20547484}. Chromosome {ECO:0000269|PubMed:20547484}. Cytoplasm {ECO:0000250|UniProtKB:Q9Y6K1}. Note=Accumulates in the major satellite repeats at pericentric heterochromatin. {ECO:0000269|PubMed:20547484}.
Dnmt3b		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15456878}. Note=Accumulates in the major satellite repeats at pericentric heterochromatin.
Gmnn		SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O75496}. Nucleus {ECO:0000250|UniProtKB:O75496}. Note=Mainly cytoplasmic but can be relocalized to the nucleus. {ECO:0000250|UniProtKB:O75496}.
Dll3		SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
Ikbkg	Nemo	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9Y6K9}. Nucleus {ECO:0000250|UniProtKB:Q9Y6K9}. Note=Sumoylated NEMO accumulates in the nucleus in response to genotoxic stress. {ECO:0000250|UniProtKB:Q9Y6K9}.
Ppt1	Cln1 Ppt	SUBCELLULAR LOCATION: Lysosome {ECO:0000269|PubMed:19941651, ECO:0000269|PubMed:9685319}. Secreted {ECO:0000269|PubMed:9685319}. Golgi apparatus {ECO:0000250|UniProtKB:P50897}. Endoplasmic reticulum {ECO:0000250|UniProtKB:P50897}.
