names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,subcluster
Sat1,5.961299,1.0485759,2.5024063744090894e-09,2.807347854707684e-07,0.88,0.5250846228239845,Purkinje_Aldoc_2
Slit2,5.959936,1.564,2.523366699626908e-09,2.816708078458536e-07,0.6133333333333333,0.18852756286266925,Purkinje_Aldoc_2
Gm28750,5.953218,1.812613,2.629208644580613e-09,2.920252885087671e-07,0.6,0.22624516441005801,Purkinje_Aldoc_2
Cdh11,5.943991,0.9024267,2.781648751537949e-09,3.0591284915312665e-07,0.9466666666666667,0.7104690522243714,Purkinje_Aldoc_2
Clic6,5.937104,0.85086614,2.9010065985737978e-09,3.1747535447627465e-07,0.96,0.8275507736943907,Purkinje_Aldoc_2
Cep112,5.9192414,1.0437492,3.2343032422584387e-09,3.522235116264373e-07,0.8533333333333334,0.5097316247582205,Purkinje_Aldoc_2
Grik3,5.9045143,4.0793176,3.5368706876212147e-09,3.814523579765392e-07,0.44,0.05712040618955513,Purkinje_Aldoc_2
Tmem132c,5.889088,0.95641416,3.883327490331054e-09,4.168042606809653e-07,0.8933333333333333,0.5949588974854932,Purkinje_Aldoc_2
Arhgap15,5.8470545,1.0737739,5.003541777867379e-09,5.319241437661392e-07,0.8266666666666667,0.5131769825918762,Purkinje_Aldoc_2
Cox5a,5.841482,0.84181565,5.17384731631217e-09,5.474224707899014e-07,0.92,0.8170938104448743,Purkinje_Aldoc_2
Nfe2l1,5.8189154,1.2619505,5.923073999635332e-09,6.237388068012208e-07,0.72,0.44203336557059963,Purkinje_Aldoc_2
Rapgef4,5.816708,2.3285863,6.001782240595185e-09,6.290600400060447e-07,0.49333333333333335,0.10807543520309477,Purkinje_Aldoc_2
Sh3pxd2a,5.795299,0.5836364,6.8199459235843786e-09,7.114733305795385e-07,0.9733333333333334,0.9481987427466151,Purkinje_Aldoc_2
Pcyt2,5.7740955,0.9658889,7.736755409685813e-09,7.996438172279435e-07,0.88,0.6590909090909091,Purkinje_Aldoc_2
Ndufa12,5.7546163,1.1354138,8.68387099126478e-09,8.852393601825853e-07,0.7866666666666666,0.45811170212765956,Purkinje_Aldoc_2
Atp1a3,5.7415905,0.5155318,9.379153340901719e-09,9.517709015255949e-07,0.9866666666666667,0.9656673114119922,Purkinje_Aldoc_2
Corin,5.732689,0.88109666,9.885076544394962e-09,9.985716463964594e-07,0.96,0.7686774661508704,Purkinje_Aldoc_2
Ldhb,5.7231727,0.86785686,1.0455290611407474e-08,1.051416049097621e-06,0.9466666666666667,0.8542069632495164,Purkinje_Aldoc_2
Gabrb1,5.7206397,1.016487,1.0612366959277318e-08,1.062426423165319e-06,0.9066666666666666,0.5916948742746615,Purkinje_Aldoc_2
Galnt18,5.7168527,2.5632296,1.085152019000819e-08,1.0802315722568399e-06,0.4666666666666667,0.078215667311412,Purkinje_Aldoc_2
Kalrn,5.7162976,0.3337335,1.0886992329576214e-08,1.0802315722568399e-06,1.0,0.9983679883945842,Purkinje_Aldoc_2
Scg2,5.7108097,1.5229661,1.1243983182649449e-08,1.1107164803214556e-06,0.6666666666666666,0.33347437137330754,Purkinje_Aldoc_2
Atp2a3,5.7038145,0.53223,1.1715572474284669e-08,1.1471498047737072e-06,1.0,0.9706842359767892,Purkinje_Aldoc_2
Mdga2,5.6746984,0.45491812,1.3893330031035396e-08,1.342721181570845e-06,1.0,0.9986097678916828,Purkinje_Aldoc_2
